Track URI;Track Name;Artist Name(s);Album URI;Album Name;Album Artist URI(s);Album Artist Name(s);Album Release Date;Album Image URL;Track Duration (ms);Track Preview URL;Artist Genres
spotify:track:3XVozq1aeqsJwpXrEZrDJ9;Ice Ice Baby;Vanilla Ice;spotify:album:20O6lfaDAoMhUj5TAvVbb6;Vanilla Ice Is Back! - Hip Hop Classics;spotify:artist:7GXXMm3DB1VswVcuGyInUd;Vanilla Ice;2008-11-04;https://i.scdn.co/image/ab67616d0000b2730d441bd2334134eca6761fc4;254466;https://p.scdn.co/mp3-preview/8821e73288958a0cf11e23e92be1d915615baf6d?cid=9950ac751e34487dbbe027c4fd7f8e99;hip hop,hip house,miami hip hop
spotify:track:7hzY0LHz8KdEr1PowHhbdu;Shake Your Groove Thing;Peaches & Herb;spotify:album:0qf42mS1W0tr6L7yaGor0Y;2 Hot!;spotify:artist:6qI4LTzMRpTxRzMZPvv2C6;Peaches & Herb;1905-05-31;https://i.scdn.co/image/ab67616d0000b27366ade54d4c31ad2d4fcc6021;346133;;classic soul,disco
spotify:track:2RlgNHKcydI9sayD2Df2xp;Mr. Blue Sky;Electric Light Orchestra;spotify:album:3usnShwygMXVZB4IV5dwnU;Out of the Blue;spotify:artist:7jefIIksOi1EazgRTfW2Pk;Electric Light Orchestra;1905-05-30;https://i.scdn.co/image/ab67616d0000b2738c4e95986c803791125e8991;303373;https://p.scdn.co/mp3-preview/69808f0ac4e57bd9fa9810abfd2921fb3ee1533c?cid=9950ac751e34487dbbe027c4fd7f8e99;album rock,art rock,beatlesque,classic rock,glam rock,mellow gold,rock,soft rock,symphonic rock
spotify:track:5T8EDUDqKcs6OSOwEsfqG7;Don't Stop Me Now - Remastered 2011;Queen;spotify:album:2yuTRGIackbcReLUXOYBqU;Jazz (2011 Remaster);spotify:artist:1dfeR4HaWDbWqFHLkxsg1d;Queen;1978-11-10;https://i.scdn.co/image/ab67616d0000b2737c39dd133836c2c1c87e34d6;209413;;classic rock,glam rock,rock
spotify:track:3qqho4PnTn3zlMPBzWhFFD;Ugly Heart;G.R.L.;spotify:album:3EnagjeTqe4GvpF3dgVPtF;G.R.L.;spotify:artist:3Yl4nkmEa8BSuGWbwhdLDq;G.R.L.;2014-07-29;https://i.scdn.co/image/ab67616d0000b273cc5da1d919f3ee4b8318b38d;198306;https://p.scdn.co/mp3-preview/6ca71adba2fa4efa14efb20dde6778f8593aac74?cid=9950ac751e34487dbbe027c4fd7f8e99;dance pop,girl group,post-teen pop
spotify:track:5y6pj7OeBFF0CVgZKhRbOG;Black Magic;Little Mix;spotify:album:4bzVI1FElc13HQagFR7S1W;Get Weird (Deluxe);spotify:artist:3e7awlrlDSwF3iM0WBjGMp;Little Mix;2015-11-06;https://i.scdn.co/image/ab67616d0000b2734e977ec3406c06c9401642d5;211773;;dance pop,girl group,pop,post-teen pop,talent show,uk pop
spotify:track:6FE2iI43OZnszFLuLtvvmg;Classic;MKTO;spotify:album:5IenxFp0vpnXBUxPcwJtbE;MKTO;spotify:artist:2l35CQqtYRh3d8ZIiBep4v;MKTO;1905-07-04;https://i.scdn.co/image/ab67616d0000b273a3aa50c6d18d38be136bd67d;175426;https://p.scdn.co/mp3-preview/c2f5d9652b4b1c272a8e57ab533a148c3bb4396c?cid=9950ac751e34487dbbe027c4fd7f8e99;dance pop,pop,pop rap,pop rock,post-teen pop
spotify:track:3ZCTVFBt2Brf31RLEnCkWJ;everything i wanted;Billie Eilish;spotify:album:4i3rAwPw7Ln2YrKDusaWyT;everything i wanted;spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH;Billie Eilish;2019-11-13;https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249;245425;;art pop,electropop,pop
spotify:track:4SSnFejRGlZikf02HLewEF;bury a friend;Billie Eilish;spotify:album:0S0KGZnfBGSIssfF54WSJh;WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?;spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH;Billie Eilish;2019-03-29;https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce;193143;;art pop,electropop,pop
spotify:track:2Fxmhks0bxGSBdJ92vM42m;bad guy;Billie Eilish;spotify:album:0S0KGZnfBGSIssfF54WSJh;WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?;spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH;Billie Eilish;2019-03-29;https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce;194087;;art pop,electropop,pop
spotify:track:3mruwwpKfG5NYmnEr6O5Dw;Post Malone (feat. RANI) - VIZE Remix;Sam Feldt, RANI, VIZE;spotify:album:2idnYaYkAG2xDus7xk1yNZ;Post Malone (feat. RANI) [VIZE Remix];spotify:artist:20gsENnposVs2I4rQ5kvrf, spotify:artist:3SYnDj7btg9gFY7ps8m5d5, spotify:artist:09agIJMxCD2k87ys9Al0f0;Sam Feldt, RANI, VIZE;2019-09-12;https://i.scdn.co/image/ab67616d0000b2736944eb357ca4307cfe6b4a9a;154838;https://p.scdn.co/mp3-preview/d795391892c1d94dc69e5d9c230e3ad37421db74?cid=9950ac751e34487dbbe027c4fd7f8e99;dance pop,edm,electro house,pop,pop dance,pop edm,tropical house,uk pop,dance pop,edm,german dance,pop dance,slap house,tropical house
spotify:track:0mjAU3yKR1QnXnHtjGJqTM;Rescue Me;OneRepublic;spotify:album:57BhVBJbVPfIbwLANO5fSe;Rescue Me;spotify:artist:5Pwc4xIPtQLFEnJriah9YJ;OneRepublic;2019-05-17;https://i.scdn.co/image/ab67616d0000b2734de9c83e9dfab133fb55d071;158899;;dance pop,piano rock,pop,pop rock
spotify:track:7vgv8KZBSo0TPzyIWG9yzV;Salt;Ava Max;spotify:album:6KPJTxKFCpuzrwyJGcURqK;Salt;spotify:artist:4npEfmQ6YuiwW1GpUmaq3F;Ava Max;2019-12-12;https://i.scdn.co/image/ab67616d0000b2739dafceda0875d6a7b39f4eea;180283;;dance pop,pop
spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg;Don't Start Now;Dua Lipa;spotify:album:0ix3XtPV1LwmZADsprKxcp;Don't Start Now;spotify:artist:6M2wZ9GZgrQXHCFfjv46we;Dua Lipa;2019-10-31;https://i.scdn.co/image/ab67616d0000b2738583df1a14bea9175f9ac520;183290;https://p.scdn.co/mp3-preview/e99d9e2e3c847f30660855e1c484341557dcfac6?cid=9950ac751e34487dbbe027c4fd7f8e99;dance pop,pop,uk pop
spotify:track:4Yo1ZTT9D7gUqyzgpVKkhQ;I Don't Belong In This Club;Why Don't We, Macklemore;spotify:album:3pEIf94XjPRgUDyIKOmIBE;I Don't Belong In This Club;spotify:artist:2jnIB6XdLvnJUeNTy5A0J2, spotify:artist:3JhNCzhSMTxs9WLGJJxWOY;Why Don't We, Macklemore;2019-03-20;https://i.scdn.co/image/ab67616d0000b2733f024e018b18796003532288;222620;https://p.scdn.co/mp3-preview/8bbab42a4217dbd1a38026029d6bb71ad654a677?cid=9950ac751e34487dbbe027c4fd7f8e99;boy band,dance pop,electropop,pop,post-teen pop,teen pop,pop rap,seattle hip hop
spotify:track:6RRNNciQGZEXnqk8SQ9yv5;You Need To Calm Down;Taylor Swift;spotify:album:1NAmidJlEaVgA3MpcPFYGq;Lover;spotify:artist:06HL4z0CvFAxyc27GXpf02;Taylor Swift;2019-08-23;https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647;171360;;pop
